Components,Pressure_kPa,Temperature_C,Speed_mms,Cells (e6/ml),Needle_um,Has_Cells,num_components,contains_alginate,contains_gelatin,contains_pcl,contains_gelatin_methacrylated,contains_hydroxyapatite,contains_hyaluronic_acid,contains_pluronic_f127,contains_plga,contains_methylcellulose,contains_beta_tricalcium_phosphate,contains_chitosan,contains_fibrinogen,contains_carbopol,contains_polypropylene_fumarate_ppf,contains_diethyl_fumarate_def,contains_diclofenac_sodium,contains_lactose,contains_polyplasdone,contains_gellan_gum,contains_laponite,contains_glycerol,contains_pegda,contains_collagen,contains_hyaluronic_acid_methacrylated,contains_hydroxypropyl_methylcellulose,alginate_conc,gelatin_conc,pcl_conc,gelatin_methacrylated_conc,hydroxyapatite_conc,hyaluronic_acid_conc,pluronic_f127_conc,plga_conc,methylcellulose_conc,beta_tricalcium_phosphate_conc,chitosan_conc,fibrinogen_conc,carbopol_conc,polypropylene_fumarate_ppf_conc,diethyl_fumarate_def_conc,diclofenac_sodium_conc,lactose_conc,polyplasdone_conc,gellan_gum_conc,laponite_conc,glycerol_conc,pegda_conc,collagen_conc,hyaluronic_acid_methacrylated_conc,hydroxypropyl_methylcellulose_conc,dominant_material_type,total_solid_content,has_synthetic_polymer,has_natural_polymer,volumetric_flow_rate,wall_shear_rate,specific_pressure,throughput_capacity,temp_stress,shear_stress_risk,resolution_capability,is_synthetic,data_origin,parent_real_id
,624.1683754518676,110.31625491466865,21.363456427213457,,284.79762187946324,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,0,0.0013609247667772648,600.1020354360222,458635.1369699813,,,,,1,physics_sim,
,230.5902037461589,37.0,4.019401958723495,,460.65590419091063,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,1,0.0006698917123360032,69.80311017312764,344219.6033780705,,,,,1,physics_sim,
,442.64391576491704,111.69566577988364,2.773794476569094,,217.2027807467758,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,0,1,0.00010277675996229254,102.1642090480322,4306806.413443101,,,,,1,physics_sim,
,84.60051538872503,147.10496190127063,17.419479985215137,,296.75555342165836,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0012048216902084492,469.5980401912925,70218.22885331625,,,,,1,physics_sim,
,312.0044411993869,16.438954063536166,13.60178558541388,,438.0526699622726,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,0,0.002049927347623769,248.40456147939636,152202.6082331392,,,,,1,physics_sim,
,579.4448469203877,37.0,11.754529015034366,,306.9010519174381,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0008695446105984889,306.40567456109915,666376.5992925531,,,,,1,physics_sim,
,556.0427749734226,37.0,19.298185580068314,,272.89118081305355,1,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,0,0.0011287177660615204,565.7400317414281,492631.8155528175,,,,,1,physics_sim,
,396.91651420129614,15.196275728742883,9.1587229139894,,348.6957179625321,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,0,1,0.0008746172324735432,210.12526147239302,453816.8762829932,,,,,1,physics_sim,
,514.6583286868436,37.0,13.99120700832473,,531.9052481150579,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,0,0.0031089491185695125,210.43156571445448,165540.87684225946,,,,,1,physics_sim,
,681.8930437719373,102.47731182866674,17.956290992693,,574.9513752657283,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.004661962227452868,249.84778225896966,146267.35787113867,,,,,1,physics_sim,
,725.4689813381876,158.74254572681198,23.608200953986927,,514.0758172593634,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,0,0,0.004900124605219322,367.388618081098,148051.09905049397,,,,,1,physics_sim,
,283.1635189512441,35.41642758943803,6.17676481256441,,278.333233653708,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,1,0.00037582102891299914,177.5357977059064,753451.0943125023,,,,,1,physics_sim,
,119.78114406239253,71.28402738841436,20.41030760938334,,454.38188286549143,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,1,0.0033096452462710625,359.35071929624087,36191.52475807602,,,,,1,physics_sim,
,261.99308533971634,23.791194279637885,18.317042429154476,,415.5252036158476,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,1,0.0024839335573813588,352.6532998648885,105475.03538737254,,,,,1,physics_sim,
,481.29857730118465,153.90044755323171,11.578464237473165,,253.7099403609102,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,1,1,0.0005853502475914699,365.092906192991,822238.9194207271,,,,,1,physics_sim,
,517.676388553125,132.00999617817908,2.5526129967576168,,309.8815260191568,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,0,0,0.00019251573400483,65.89906306726742,2688994.2384963646,,,,,1,physics_sim,
,428.973224131875,145.1628275383037,21.694266411860745,,392.53335061426594,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,1,0.0026253546151594736,442.1385436834602,163396.23541088076,,,,,1,physics_sim,
,403.84279758317234,30.789530527250665,10.222156602740617,,463.64550578781063,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,0,0.0017258558551080077,176.37882759934476,233995.53467480306,,,,,1,physics_sim,
,742.9143676484903,78.36440342151502,14.539816643480618,,303.81671327043614,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0010540765058831701,382.85755030901026,704800.5137212672,,,,,1,physics_sim,
,629.5555453380083,116.25511779799805,18.490579346283827,,342.01642258078334,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0016987689725032633,432.5073756360658,370594.93370389147,,,,,1,physics_sim,
,648.1037640366278,48.645775190660366,19.486063713248427,,323.99997486871575,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.0016065859056046744,481.13737693298435,403404.1120188887,,,,,1,physics_sim,
,580.3935644433292,136.13413547210826,21.481529735946392,,441.22572246820664,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.003284556464129559,389.4882461330713,176703.73278037301,,,,,1,physics_sim,
,44.40438043989738,89.62912448260865,20.33632656124667,,271.1552496196094,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Thermo-responsive,,0,1,0.001174352353016645,599.9905660615555,37811.77132575361,,,,,1,physics_sim,
,369.2249395124474,56.88831614182902,16.797146484335954,,247.40104943926062,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.0008074738488530013,543.1551304318575,457258.7493429951,,,,,1,physics_sim,
,43.548740349725016,71.9064370032746,19.192492540938026,,348.6896265609373,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,1,0,0.0018327334932477346,440.3340948781066,23761.619869200793,,,,,1,physics_sim,
,441.11057177062526,51.395200573033534,9.378044171002218,,515.0196343435117,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0019536633423365085,145.6727995722391,225786.26338804635,,,,,1,physics_sim,
,683.9705933862913,18.99028184536022,22.01974137658782,,589.748895471703,0,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.00601501019214272,298.69988766124715,113710.61026116583,,,,,1,physics_sim,
,120.68891238776916,77.55019407224083,17.213063229353974,,289.956086726365,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,0,0.0011366127020101622,474.91498800779607,106182.8765343268,,,,,1,physics_sim,
,637.2257628144658,146.04484790739562,4.194688712649973,,372.04115061192,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,1,0.0004560070704187514,90.19837721333633,1397400.1868635844,,,,,1,physics_sim,
,624.9011405395173,37.0,22.299964403288204,,459.58253838166036,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.0036993130983326494,388.1777388116882,168923.51498921707,,,,,1,physics_sim,
,34.50878922407048,57.81006136099811,16.15583199135323,,345.7416953712928,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,0,0.0015167804560272569,373.8243020660985,22751.325899286545,,,,,1,physics_sim,
,634.3619681491549,126.81280829852355,8.772242104709191,,477.4472229895181,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0015705480717657914,146.98574379863263,403910.9503505882,,,,,1,physics_sim,
,221.00690249839258,33.54068617725055,11.033044906135961,,215.02843615956294,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,0,0.0004006609902354714,410.4775080857857,551604.364488145,,,,,1,physics_sim,
,266.51837921791724,37.0,17.358416202578763,,308.2465104721125,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.001295377401380072,450.5073466495804,205745.57900145126,,,,,1,physics_sim,
,48.7700048597198,121.10008680181087,5.344184640752864,,324.03381533710206,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,1,0.00044070908640988425,131.94139593614602,110662.32964398515,,,,,1,physics_sim,
,252.995465115204,41.33402532470738,18.01669839429386,,526.7117866022544,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,1,0.003925646268559835,273.6479196190583,64446.81546949532,,,,,1,physics_sim,
,174.70486071276233,36.692210181408115,19.228334092755937,,416.98840138506245,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,0,0.0026259079079683574,368.8991512198814,66531.19618225064,,,,,1,physics_sim,
,210.95767615833773,106.12293687575485,13.277590121967185,,307.5386969811373,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.0009862991961552662,345.38974353187734,213887.8984113354,,,,,1,physics_sim,
,543.6748505612175,89.50889730998132,19.143828365282925,,241.00638562658978,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0008733247588139508,635.4628266989635,622533.8541480481,,,,,1,physics_sim,
,128.79167779397508,37.0,5.078756825313995,,239.2939968756322,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.00022840778788932686,169.79133443470735,563864.8100369053,,,,,1,physics_sim,
,267.4192510823268,35.61471477206486,1.4498470746861605,,220.75811980736435,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,0,1,5.549392604530007e-05,52.54064431348016,4818805.432122471,,,,,1,physics_sim,
,98.7991702092727,78.12201211100924,19.282675137873582,,468.4221135439658,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,0,1,0.0033230122677249895,329.3213382133762,29731.8013048178,,,,,1,physics_sim,
,284.3029294915355,37.0,21.593219483366877,,227.06722059164272,1,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,1,1,0.0008744121198673206,760.7690702476649,325135.7087765041,,,,,1,physics_sim,
,336.9330121267077,133.48358059225984,6.409853741401652,,481.9484040173527,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.0011693353910916407,106.39900109076586,288140.3629388135,,,,,1,physics_sim,
,546.6850986499444,131.00050485573382,21.66216344892505,,271.702244763116,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,0,0.0012559668095814037,637.8205882729998,435269.9921761107,,,,,1,physics_sim,
,614.1661184689626,60.89970146384115,17.15480362272147,,450.0116744340823,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,0,0.00272849519610503,304.9663663049229,225093.2654205984,,,,,1,physics_sim,
,437.0942494083799,16.762731864221088,20.937778155954987,,562.4348241925043,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,1,1,0.005201934521915355,297.81623691368236,84025.31088033202,,,,,1,physics_sim,
,301.83953690649633,150.574192616621,5.351692636138884,,364.66218418268096,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,0,0.0005589365395042451,117.40602864208748,540023.7335538703,,,,,1,physics_sim,
,223.46146847075119,37.0,11.216235174262081,,474.17755328876063,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.0019807012282535394,189.232659008419,112819.31492942566,,,,,1,physics_sim,
,489.3755947820225,43.85386014911833,17.01694331261313,,452.9128614550559,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,1,0,0.0027415788477368774,300.57778075054665,178501.31017923585,,,,,1,physics_sim,
,252.96466772564008,16.66469566365979,23.572920492276996,,565.8924459826014,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,0,0,0.005928858234887774,333.2494763396062,42666.66785358894,,,,,1,physics_sim,
,419.1951667043393,42.523218930962614,24.488667421098828,,422.19816964234406,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,0,0.003428370321358769,464.022221853256,122272.39333521182,,,,,1,physics_sim,
,207.41436857950336,37.0,5.689590410575236,,393.215879023556,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,1,0.0006909282962577842,115.75504400079932,300196.2280408465,,,,,1,physics_sim,
,460.91698881785277,37.0,2.5706010496786806,,230.2334455416268,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.00010701912302679089,89.32153214334801,4306825.443495978,,,,,1,physics_sim,
,78.795154164978,117.04988509362362,14.14711009187899,,456.6527635309418,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,0,0.002317020066446665,247.8401243724679,34007.09441361127,,,,,1,physics_sim,
,512.0258609479329,37.0,14.88043430599309,,410.30248782365396,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,1,0.001967495686018761,290.1358719287996,260242.29905261984,,,,,1,physics_sim,
,345.4663045231769,37.0,15.577873063512824,,313.7574038213156,1,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.0012044423223569322,397.19532580235057,286826.53480708937,,,,,1,physics_sim,
,518.0435784288882,37.0,10.618086088060764,,206.15795667652338,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,1,0.0003544347750039834,412.0367963790918,1461600.704452213,,,,,1,physics_sim,
,552.1172550419847,46.12684027601783,15.699151206624034,,495.76329193252474,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,0,0.003030503483827003,253.33301007159866,182186.582461266,,,,,1,physics_sim,
,79.19123583937123,37.0,18.885739697132422,,565.8194655394236,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,0,1,0.004748753745972505,267.02141699762734,16676.21093856965,,,,,1,physics_sim,
,181.19144755697894,37.0,13.989085970787883,,468.27021015293025,1,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,1,0.0024091968186552865,238.991681649633,75208.20671260297,,,,,1,physics_sim,
,44.995683041102254,37.0,21.70746905641493,,232.98178426389063,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,1,1,0.0009254287891942613,745.378948967181,48621.39037071455,,,,,1,physics_sim,
,352.8285658978245,37.0,18.50542343730381,,442.69268988697456,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,1,0.0028483516790285424,334.41569408093227,123871.09521077987,,,,,1,physics_sim,
,611.4024679162595,37.0,20.69850646251495,,573.0842032531045,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,1,0.0053390718545349375,288.9419190405564,114514.7265403847,,,,,1,physics_sim,
,585.7446705864465,130.95922077490488,11.088144303669248,,282.48696203365597,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,0,0.0006949372108388971,314.0150036311629,842873.0230265548,,,,,1,physics_sim,
,36.1509123606838,141.68982342642263,19.833172283624066,,364.5357865996575,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0020699621532671944,435.2532062992138,17464.519744529665,,,,,1,physics_sim,
,470.2915876359836,37.0,22.27903814661017,,248.16279250779326,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,0,1,0.0010776051380683486,718.207083642559,436422.5211996285,,,,,1,physics_sim,
,234.88142014223163,86.20888076055894,12.913939195912171,,222.4704309389756,0,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Thermo-responsive,,0,0,0.0005019878558135906,464.3830159279543,467901.66240155115,,,,,1,physics_sim,
,315.3566141381614,89.8815362916986,23.153852951345307,,244.75224661964955,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0010893477132000932,756.8093612924935,289490.96860982495,,,,,1,physics_sim,
,627.386603376234,16.154838688090415,11.54268966975431,,522.3378130471333,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,1,0.0024734311947199033,176.78504868210007,253650.21313926927,,,,,1,physics_sim,
,200.3970399394169,141.53219136929113,18.743499238022242,,230.65432259009953,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0007831838983525762,650.0982123529702,255874.4944660586,,,,,1,physics_sim,
,482.2657985221995,37.0,9.776540298662406,,308.5995016727471,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,1,0.0007312493903026304,253.44278000604882,659508.432293092,,,,,1,physics_sim,
,270.62088605624194,143.23459931833085,13.374865323076003,,517.7942534593963,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.0028163962121062398,206.643700479627,96087.61324325357,,,,,1,physics_sim,
,353.01435759822334,70.79652449705998,10.689574695794686,,488.7716910062718,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.0020056834741879574,174.96225185490104,176006.92538697965,,,,,1,physics_sim,
,654.6403820432604,58.03406889287834,13.624904619882594,,515.7728776780765,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,1,1,0.002846691164817326,211.33184712386114,229965.28747788543,,,,,1,physics_sim,
,557.1131570150629,107.02269219067017,22.124398320684918,,248.59815643510615,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,0,0.0010738834699972773,711.972927583703,518783.1396951624,,,,,1,physics_sim,
,242.31886356531194,53.80211583494759,4.756425020865286,,297.49179300973674,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.0003306134479433351,127.90738225627454,732934.8885770522,,,,,1,physics_sim,
,746.7262639476962,141.3629210995974,10.778080595309545,,501.54602953477,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Thermo-responsive,,0,1,0.0021293786804013897,171.91770634112584,350677.83863089076,,,,,1,physics_sim,
,418.37388555916834,152.04155736962127,14.682448111053404,,208.8565901890518,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,0,0.0005030193860855716,562.3933242954957,831723.518831693,,,,,1,physics_sim,
,742.3853709919671,125.8961410065952,13.148519601016687,,245.7143079991918,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic_Polymer,,0,0,0.0006234873293226981,428.0912235388789,1190696.4991605026,,,,,1,physics_sim,
,466.66844185583477,74.17726323975884,21.532606327368434,,469.2985757418126,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,0,1,0.003724645584883451,367.060236870786,125292.0058911945,,,,,1,physics_sim,
,17.454146163861676,136.23706696505107,18.27968099522436,,414.26263973903144,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Natural_Polymer,,0,1,0.002463825979525862,353.00659218472447,7084.16066099761,,,,,1,physics_sim,
